ds,y
2006-07-02,18.311111111111103
2006-07-03,18.86666666666666
2006-07-04,16.67222222222222
2006-07-05,15.622222222222222
2006-07-06,16.6
2006-07-07,19.261111111111116
2006-07-08,21.46111111111111
2006-07-09,17.38888888888889
2006-07-10,16.71666666666667
2006-07-11,19.422222222222217
2006-07-12,19.444444444444443
2006-07-13,20.416666666666668
2006-07-14,18.916666666666668
2006-07-15,20.04444444444444
2006-07-16,19.283333333333328
2006-07-17,17.577777777777776
2006-07-18,14.400000000000002
2006-07-19,16.333333333333332
2006-07-20,20.12777777777778
2006-07-21,19.494444444444447
2006-07-22,22.666666666666668
2006-07-23,20.666666666666668
2006-07-24,21.116666666666667
2006-07-25,20.46111111111111
2006-07-26,21.666666666666668
2006-07-27,21.71111111111111
2006-07-28,22.666666666666668
